Date,gross_return,strategy_return,turnover,transaction_cost,cash_weight,strategy_equity,gross_strategy_equity,strategy_drawdown,price,short_sma,long_sma,signal,position,fallback_position,buy_hold_return,buy_hold_equity,buy_hold_drawdown
2020-06-29,0.02304666965311175,0.02304666965311175,0.0,0.0,0.0,19046.412881797394,19411.313361617234,-0.12636062780941792,87.57138061523438,83.76490364074706,72.26006244659423,1.0,1.0,0.0,0.02304666965311175,36197.589225387426,-0.012959312083783425
2020-06-30,0.00834759520605921,0.00834759520605921,0.0,0.0,0.0,19205.40462666211,19573.351147977985,-0.11906783997429526,88.3023910522461,84.26668739318848,72.35987697601318,1.0,1.0,0.0,0.00834759520605921,36499.75204767617,-0.00471989596914868
2020-07-01,-0.001891572045583989,-0.001891572045583989,0.0,0.0,0.0,19169.076220146188,19536.32674410807,-0.12073418662225577,88.13536071777344,84.73857727050782,72.46866687774659,1.0,1.0,0.0,-0.001891572045583989,36430.71013703204,-0.006602539991459322
2020-07-02,0.0,0.0,0.0,0.0,0.0,19169.076220146188,19536.32674410807,-0.12073418662225577,88.13536071777344,85.24435539245606,72.57378749847412,1.0,1.0,0.0,0.0,36430.71013703204,-0.006602539991459322
2020-07-06,0.02675042533473193,0.02675042533473193,0.0,0.0,0.0,19681.857162308992,20058.93179399126,-0.09721345213211219,90.4930191040039,85.75691223144531,72.70716785430908,1.0,1.0,0.0,0.02675042533473193,37405.247128443974,0.0
2020-07-07,-0.003103253230876235,-0.003103253230876235,0.0,0.0,0.0,19620.77937548041,19996.68384909363,-0.10001502740357482,90.21219635009766,86.23170738220215,72.8194176864624,1.0,1.0,0.0,-0.003103253230876235,37289.16917444091,-0.003103253230876124
2020-07-08,0.02329027198497191,0.02329027198497191,0.0,0.0,0.0,20077.752663692478,20462.412054736516,-0.07905413260941663,92.31326293945312,86.68411140441894,72.9583028793335,1.0,1.0,0.0,0.02329027198497191,38157.64406660727,0.0
2020-07-09,0.004300442887599454,0.004300442887599454,0.0,0.0,0.0,20164.095892334033,20550.409489120437,-0.07509365750413277,92.71025085449219,87.0492546081543,73.10096454620361,1.0,1.0,0.0,0.004300442887599454,38321.73883564106,0.0
2020-07-10,0.0017491353897449713,0.0017491353897449713,0.0,0.0,0.0,20199.365626061528,20586.354937631608,-0.07347587108827347,92.8724136352539,87.62752914428711,73.25961162567138,1.0,1.0,0.0,0.0017491353897449713,38388.768745235044,0.0
2020-07-13,-0.004613170504855324,-0.004613170504855324,0.0,0.0,0.0,20106.182508338592,20491.386572230844,-0.0777500848718059,92.44397735595703,88.14928359985352,73.40282123565675,1.0,1.0,0.0,-0.004613170504855324,38211.674809541815,-0.004613170504855324
2020-07-14,0.016548487940355905,0.016548487940355905,0.0,0.0,0.0,20438.909427104427,20830.488035802577,-0.062488243273312816,93.97378540039062,88.69681739807129,73.56934360504151,1.0,1.0,0.0,0.016548487940355905,38844.02024930832,0.0
2020-07-15,0.006877382212316707,0.006877382212316707,0.0,0.0,0.0,20579.475619237546,20973.74726369388,-0.056040616593762915,94.62007904052734,89.166650390625,73.75983081817627,1.0,1.0,0.0,0.006877382212316707,39111.16542322578,0.0
2020-07-16,-0.012304988782896542,-0.012304988782896542,0.0,0.0,0.0,20326.245402584937,20715.66553887882,-0.06765602621808653,93.45578002929688,89.58419876098633,73.9745715713501,1.0,1.0,0.0,-0.012304988782896542,38629.90297140698,-0.012304988782896542
2020-07-17,-0.0020200930067311162,-0.0020200930067311162,0.0,0.0,0.0,20285.184496394075,20673.81796779395,-0.06953944775939125,93.2669906616211,89.99061279296875,74.21180629730225,1.0,1.0,0.0,-0.0020200930067311162,38551.86697456374,-0.014300224567839304
2020-07-20,0.021073743295433767,0.021073743295433767,0.0,0.0,0.0,20712.669267171594,21109.492700583767,-0.04993116093494521,95.23247528076172,90.51962814331054,74.45766384124755,1.0,1.0,0.0,0.021073743295433767,39364.299122745404,0.0
2020-07-21,-0.013801691049037279,-0.013801691049037279,0.0,0.0,0.0,20426.7994051452,20818.146004128404,-0.06304371752703875,93.91810607910156,90.87218437194824,74.73655788421631,1.0,1.0,0.0,-0.013801691049037279,38821.00522789138,-0.01380169104903739
2020-07-22,0.0028092530045003006,0.0028092530045003006,0.0,0.0,0.0,20484.18345274643,20876.629443338625,-0.060411570275416104,94.18194580078125,91.14522438049316,75.01847667694092,1.0,1.0,0.0,0.0028092530045003006,38930.06325346556,-0.01103121048658362
2020-07-23,-0.04551660416168479,-0.04551660416168479,0.0,0.0,0.0,19551.812982952437,19926.39616473601,-0.10317844490608896,89.89510345458984,91.2822280883789,75.19608982086181,1.0,1.0,0.0,-0.04551660416168479,37158.098974368215,-0.05604571140712644
